review,rating,date
"lov bgt apk shope, banyak vouchernya dan kualitas apknya makin top dgn fitur² baru, tpi aku punya saran buat shope, gmn kalau semisal saat barang kita di antar sama kurir nya, ada terlihat no. kurir/setidaknya bisa di chat kurirnya. Sering kejadian barangnya udh sampai, aku lagi di kampus nggak dikabarin sama kurir dan hpku nggak muncul notif, alhasil pas balik kos barangnya udh nggak ada karna di ambil org, aku nggak sadar pas pgn cek barang ternyata udh sampe dri lama, hangus dh ratusan ribuku",5,2025-06-03 09:47:30
"Sekarang Shopee kok rada aneh ya, harga barang ketika di transaksi berubah dengan harga total diluar bea pengiriman Ditambah lagi ekspedisinya hanya menggunakan SPX , jadinya BUMMM ... Paket tertahan dengan alasan numpuk / overload, ada yang tanpa pemberitahuan apapun paket malah statusnya sudah retur, dan tanpa ada di hubungi sama sekali dan juga itu bukan paket COD paket hilang, pengiriman lelet , dlll , lengkap dah... lengkap penderitaan costumer",1,2025-05-11 14:44:30
"Sangat terganggu dengan fitur ketika awal buka shopee langsung nampil video bahkan si stop pun tidak bisa, meski sudah klik fitur/menu menu pun video pun masih berlanjut .itu membuat performa aplikasi tersebut jadi berat tolong diperbaiki",2,2025-05-31 17:59:20
"Alasan penolakan pengembalian barang & dana tidak transparan. semua lampiran pengembalian sudah disertakan bahkan sudah sesuai instruksi dari tim mediasi sebelumnya. namun ketika ditanya detail terkait alasan penolakannya point mana yg belum memenuhi syarat hingga detik ini saya tdak mendapatkan jwaban detail. bahkan tim mediasi mengatakan bahwa ""mengenai rinciannya belum dapat kami informasikan namun sudah sesuai hasil investigasi"" rinciannya saja tidak ada namun sudah bisa menyimpulkan.",1,2025-06-03 02:59:54
"makin hari makin turun kebijakannya Shopee, mau kembalikan barang ribet, padahal jelas² tokonya salah kirim, tapi tetap pengembalian barang dan dana saya di tolak, yang dimenangkan selalu penjualnya, pernah juga beli barang elektronik, yang dikirim sama tokonya barang rusak mana harga 1 jutaan, tetep aja sy kalah, mau tidak mau sy harus ikhlasin uang 1 juta buat bayar barang yang gak bisa kepake, padahal semua prosedur pengembalian sy ikutin, udah sampai 4 kali sy kembalikan barang itu tapi teta",1,2025-06-03 02:43:48
"utk shopee, dipermudah dgn adanya status jumlah barang utk item di toko...utk pilihan COD beberapa kali gagal sampai konfirmasi pesanan, karena diarahkan pembayaran lwt rekening dan semacamnya...entah lah...saya baru benar2 menggunakan apk ini, belum terlalu paham. Trus utk biaya ongkir lebih baik tertera...walaupun pilihan belanja tetap jadi peminat pembeli...kalau sudah cocok dgn pihak toko atau barang item, harga menjadi relatif... sementara sekian dulu, kepanjangan...dan terimakasih 👍🙏😁",5,2025-05-27 14:52:47
"Aplikasi ini sangat bagus dan mudah dalam penggunaannya memang banyak fitur menarik dan berbagai permaianannya. Tapi lama kelamaan aplikasinya terasah semakin berat. Saran saya cuma tolong dibuat agar tidak terlalu menghabiskan memori kalau bisa ya dibuat Mode LITE nya, untuk tambahan saya agak kecewa setelah sekian lama memakai aplikasi Shopee kenapa limit Spaylater dan Spinjam saya tidak ada peningkatan dan untuk tenor tidak ada perkembangan tetap stuck di 6bulan saja",5,2025-05-05 14:10:48
"haduh...makin kesini makin kecewa sm pelayanan shopee.apalagi masalah pengiriman. udh hampir seminggu status pengiriman cm muter² doang,entah sistem nya atau memang kurirnya yg error.lelet..padahal buat pedagang sprti sy kadang butuh barang cepet.lama² sy uninstall aplikasi nya klo sllu bgini trs",2,2025-06-03 07:57:16
"Saat buka app jangan langsung ke halaman live dong, aplikasi shopee jadi lemot, terkadang sulit di buka.hp terasa berat sekali karena saat di buka langsung ke live, jadi perlu jaringan yg kencang sekali. mohon untuk segera di optimalkan lagi seperti dulu.. Dan juga akun2 fake untuk di bersihkan ya..",3,2025-05-30 06:18:04
"ya sebenarnya bagus aja,dari dulu selalu pakai shopee buat belanja online. Tapi nih ya, tolong hilangin aja tombol 'pesanan diterima' jika paket masih dalam pengantaran, tunggu udah diterima aja baru muncul. Soalnya terkadang tidak sengaja tertekan atau ketekan karena ghost touch di ponsel saya,alhasil bakal ribet.Bikin panik dan juga ada beberapa akibat buruknya",5,2025-05-19 14:33:53
"sekarang setiap buka shoppe selalu di munculkan di shoppe video itu menyebalkan banget, apalagi suaranya gak mu hilang padahal Sudah berganti ke menu home dan terkadang saya keluar aplikasi suaranya masih muncul, tolong lah saat start jangan di kasih shoppe video saya gak mau nonton juga dan gak tertarik juga, saya belanja sesuai keinginan saya bukan shoppe, uh menyebalkan sekali.",1,2025-05-31 19:22:32
"Shopee bukan tidak bisa bikin aplikasi ringan dan stabil. Mereka tidak mau—karena di balik lag dan bug itu ada algoritma yang menambang data, menampilkan iklan, dan menjaga engagement. – Efisiensi sudah bukan prioritas; yang penting kamu tetap scroll tanpa henti.",1,2025-05-29 10:42:26
"Perbaiki lah oi aplikasi nya yg sering bgt ketika login langsung ke shopee video yg bikin lemot dan sering keluar sendiri. Jasa kirim dari shopee lelet & lewat rute terjauh yg buat semakin lama padahal setiap checkout kena biaya layanan, Selebihnya sih udh lumayan lah dari produk, ongkir dll, Tolong kedepannya lebih di tingkatkan lagi dari aplikasi & pelayanan dari shopee maupun jasa kirim nya ! Sekian dan terima kasih",2,2025-06-03 16:14:16
kurir diparung panjang salah satu oknumnya sering melebihkan harga! biarpun dari nominal kecil kalau sering saya juga merasa dirugikan! segera ubah lah pengaturan di kertas resi agar terteranya harga sebenernya! buat apa harga di tiadakan lebih baik nama barangnya yg dihilangkan harganya tetap di cantumkan!!,1,2025-05-31 18:52:37
"Tolong perbaiki sistem tombol ""Pesanan Selesai"" yang muncul padahal paket masih dalam perjalanan. Kadang tombolnya kepencet tanpa sengaja, bikin konsumen panik karena takut pesanan belum sampai tapi sudah dianggap selesai. Selain itu, pengiriman juga ada yang tidak bisa dilacak lewat map, jadi agak bikin khawatir. Untuk fitur lainnya sudah cukup bagus dan membantu, tinggal ditingkatkan lagi bagian pengiriman dan sistem pelacakan pesanan supaya makin nyaman.",2,2025-05-13 00:03:03
"Sangat membantu untuk ber- belanja segala kebutuhan se- hari2, khususnya saya sbg pengguna yg selama hampir 1 tahun ini tidak lagi dapat ber belanja tanpa bantuan dari keluarga terdekat,disebabkan kecelakaan, maka aplikasi ini begitu banyak manfaatnya bagi saya disaat keluarga tak bisa dikarenakan oleh waktu yg terbatas.Kurir2 nya baik dlm bekerja dan melayani. Harapan saya selanjutnya semua jenis layanan yg ada di aplikasi ini akan lbh ditingkatkan, baik itu CS Spaylater ataupun CS Seabank.",5,2025-06-01 15:27:29
"aplikasi belanja online yang benar benar mengantarkan pesanan sampai ke pemesannya.. tapi sayang,, masih ada penjual yang tidak amanah.. kadang ada barang yang kita pesan,, tidak sama dengan yang di promosikan.. kedepannya shopee lebih seleksi ke penjual yang banyak komplenan dari pelanggan.. karena disaat kita mau komplen,, aplikasi shopee biasanya akan langsung mengarahkan / menghubungkan ke penjual..",5,2025-03-24 14:35:23
Aplikasi semakin berat. Untuk mengklik menu atau barang yg kita tuju lama loadingnya. Padahal app lain yg serupa tidak mengalami hal tersebut. Untuk pesanan yg dijemput kurir sering lama dijemputnya atau kadang gagal dijemput. Mohon diperhatikan. Satu lagi tombol backnya bermasalah sulit sekali untuk kembali ke halaman sebelumnya padahal sinyal bagus dan sudah di clear chache tapi tidak membantu. Suara video sering masih terdenger walau app sudah ditutup.,1,2025-03-25 08:04:38
"Sekarang shopee suka ngadat, buka aplikasi langsung disuguhi video yang sangat2 mengganggu. Suaranya keras teriak2. Tolong jangan ada tampilan video lagi, anda pikir konsumen suka ? Sangat2 terganggu. Konsep dari mana itu ? Tolong dibenahi aplikasinya, amburadul sekali, berantakan. Terima kasih Tambahan lagi, buka aplikasi lemootttt, suka error. Error gara2 video tdk jelas joget2, teriak2, suara tdk bisa dimatikan. shopee tidak mau mendengarkan keluhan konsumen.",1,2025-03-20 02:48:13
"sekarang malas saya belanja di shopee karena lambatnya pemrosesan dari pihak penjual terkait barang yg di pesan, dan lambatnya sistem kerja pihak pengiriman terkait barang yg akan di kirim. shopee hanya memberikan alasan bahwa ada garansi estimasi tiba. padahal saya tidak butuh sama sekali dg garansi tepat waktu tersebut, yg saya butuhkan sistem proses kerja yg cepat dan cekatan dalam menindak lanjuti orderan dan pengiriman.",4,2025-06-01 14:13:53
"Shopee bagus, lengkap fiturnya, belanja Apun pasti ada dapat cod gratis pula, saya suka tapi sayangnya pengiriman barang lambat kelamaan ditempat sortir, tapi juga klau ada paket kita tolak cod langsung blokir pengalaman pernah saya alami saya tidak terima paket cod blok, itu karna kesalahan kurir tidak paket saya dikembalikan oleh kurir. semoga shoppe lebih sukses lagi. terima kasih shopee 🙏",5,2025-05-31 20:32:33
expedisi kurir spx nya sangat membuat tidak nyaman.. barang lagi di tunggu tunggu malah tiba-tiba ada laporan barang di tolak dan akan di kembalikan ke penjual.. padahal gak ada konfirmasi sama sekali.. barang saya cek ternyata dia membuat laporan palsu.. dua melaporkan melalui screenshot chat WA yang sudah beberapa bulan yang lalu. mendingan expedisi JNT.. kalau memang sudah kemalaman biasanya mereka akan mengirimkan kembali di esok hari nya.. bukan di kembalikan ke penjual. KECEWA,1,2025-05-09 22:20:14
"boleh ga pas masuk aplikasi ga usah langsung masuk ke live, kaget dan suka bikin malu... kan cuma mau cek posisi paket aja. hadeuh capek banget solusinya selalu hapus cache, udh sebelum dijawab juga udh, apalagi update juga udh.. masih sama aja, kan emang setingam shopeenya begitu , ga usah lah saranin pengguna begitu",3,2025-06-02 00:10:19
"makin sini ekspedisi nya ga jelas lama sekali sampai nya tidak sesuai estimasi, mana ga ada kontak kurir yg kirim nya jadi menyulitkan saya melacak keberadaan paket saya, belum lagi status pengiriman yg tidak update. kdg d status sudah d kirim beserta foto tp barang belum sampai d pelanggan . sangat tidak jelas . info kurir nya juga ga ada ampun deh",1,2025-05-11 07:28:21
"shopee memang sangat bisa diandalkan ,aku belanja apapun selalu tersedia..kedepannya berilah pelayanan konsumen lebih ditingkatkan..!!! kalo ada toko yg kurang amanah langsung aja di black list.putus hubungan dgn toko tersebut. terima kasih shopee...!!!",5,2025-06-01 13:25:58
"App onlineshop terbaik, pelayanan terpercaya dan respon customer service sangat bagus.. The best banget ❤ sayangnya kurir shoppe (spx) kurang bagus dan kurang cekatan proses pengiriman lama dan sangat mengecewakan sering kali melewati batas hari pengiriman yang ditentukan dan juga kalau mau di pakai barangnya sering kali gagal karena kurir selaluntidak tepat waktu dan juga do undur undur pengiriman nya sering kali kecewa 🙁🥲",5,2025-06-01 04:45:39
"aplikasi udah gk berat lagi ,sudah lancar tetapi ada satu yang kurang suka,ketika baru buka apk shopee langsung menuju ke bagian live/video ,karna ketika masuk langsung ngelag kdng keluar sendiri. tolong benerin ya ,untuk apk nya saya suka sekali bangak diskonan😀 dan layanannya juga lengkap banget ,ketika pengiriman tertunda,lalu chat masalah di cs ,waaw langsung diutamain paket kita ,tetapi sekarang hihi biaya layanan pas beli produk sekarang mulai naik 2000 kdng 3000 😅",5,2025-05-16 23:42:53
"Untuk Aplikasi sangat bagus dan lengkap, tapi akhir-akhir ini pesanan selalu lambat mungkin terlalu lama di tempat sortir. Dan juga kalau bisa ada fitur untuk menonaktifkan auto play video karna kadang ganggu banget.",5,2025-05-31 19:56:53
"akhir-akhir ini banyak kecewanya pake shopee. Barang sering telat, toko ngirim pesanan ga sesuai katalog, bilangnya habis tapi di katalog ada ratusan. Meskipun diganti voucher karena barang telat, tapi saya konsumen udah rugi di waktu, ga pake COD biar dateng langsung sat set. Banyak toko curang, beli A dikirim B dengan alasan stock habis, padahal detik dimana dia bilang habis di katalog nya masih majang ratusan. Haduh. mana voucher keterlambatan minim 70ribu. kecewa berat.",1,2025-06-02 00:41:02
"Ekpedisi pengiriman tolong di percepat lagi. spx nya belum maksimal. biasa barang paling lama 1minggu sekarang hampir 2 mingguan, dan saking lamanya pengiriman terkadang lupa sendiri ada pesan barang. masak kalah sama sih hijau soal ekpedisi. bisa bisa beralih saja, pdhal sudah membernya platinum saya. tp klo bgni terus bisa pindah juga belanjanya.",5,2025-05-18 23:02:13
"Kenapa akhir² ini kalo buka shopee langsung di arahin ke video/live streaming, ganggu banget trus kalo udh keluar dari fitur itu suara dari videonya tetep ada,tolong perbakin soalnya ganggu kalo langsung di arahin ke video/live streaming, udah coba hapus cache trus update aplikasi tetep gak berubah, tetep di arahin ke video/live streaming",3,2025-05-29 06:09:03
"tolong jika status pesanan sudah ""Dalam pengantaran ke alamat tujuan"". seharusnya nama dan nomor tif kurir sudah tercantum di Apk, agar pelanggan dan kurir bisa komunikasi, sehingga pengantaran dan penerimaan barang lebih efektif. update status pesanan harusnya bisa realtime antara posisi maps di apk dan status pesanan",5,2025-04-07 04:32:26
"masih sama udah hampir 2bln dana gw masih stuck di Market place ini....gak pernah berhasil verifikasi no rekening, sampai gw sengaja naikin upgrade wifi ke yg lebih kenceng lagi..tp zonk...,, tetep gak bisa...sdh hub pihak sophee tp..yaaa template la jwab nya tergantung jaringan...gw coba bisa gak cara verifikasi lain...tetep gk bisa ya cuma itu...gw kok jdi ngrasa kayak di permainkan atau di tipu ya....entahlah...pelajaran buat semua sblm transaksi pastikan udah verifikasi no rekening nya,",1,2025-05-11 03:24:17
banyak barang murah wkwk kalo checkout itu biasa nya gratis ongkir pas udh gratis ongkir ada biaya layanan nya 2rb wkwk kadang bikin kesel ada bug Mulu kdang seller nya oon banyak yg nipu ga sesuai yg di harapkan terus banyak bug atau error nya gasuka lah walaupun banyak gratis ongkir wkwkkwkwk aku kasih bintang 5 ya,5,2025-05-31 23:08:03
"Aplikasinya tidak user friendly, sangat hardselling. Begitu buka aplikasi langsung diarahkan ke live shopee yang videonya autoplay cukup berat, lalu jika buka tab home langsung diberikan beberapa pop up active, mulai dari promo event berjalan dan games. belum ditambah layer live shopee yang active preview. Berat parah. Ngga bisa buka jika sambil multitasking dengan aplikasi lain.",2,2025-05-30 09:03:14
"baru 1 hari komplen besoknya paket udah Dateng, mantep shopee, tapi tolong perbaiki sistem SPX nya! saya cukup kesal dengan sistem shopee yang bisa-bisanya paket saya yang udah sampe ke kota tujuan malah di kirim lagi keluar kota, SPX masih butuh perbaikan sistem yang lebih baik, apalagi banyak seller yang cuman mengaktifkan jasa kirim SPX doang",4,2025-06-03 05:02:49
"sengaja gw kasih bintang lima biar komen gw di atas,Cuma mau kasih tau buat kalian yang mau pakai ini aplikasi lebih baik di pertimbangkan lagi soalnya di apk banyak bug nya mulai dari pembayaran yang belum terverifikasi padahal udah di bayar dan bug lain,lebih baik pakai apk sebelah aja kaya Tokopedia/Tiktok shop yang lebih enak dan lebih sedikit bug,apk nya juga gak ada pembayaran via e wallet seperti dana jadi agak susah kalau mau bayar bagi yang gak punya rekening bank/shoope pay",5,2025-05-16 13:36:52
"aplikasi kenapa makin aneh, katanya dtp voucher belum juga 10 detik tiba2 mau cekout tulisan hbis aneh bgt padahal diinfokan voc smpe 1000resi mau cekout aja tiba2 habis kalau gak niat kasih cuma pising atau gmna bikin kecewa aja, kadang juga dtp potongan dengan harga tertentu tiba2 dibatalkan seenaknya tolong dong shope kenapa jadi begini!!",2,2025-06-01 05:13:35
"Seringkali ngeprank dengan memberi voucher diskon tapi wajib pake shopeepay, rincian harganya sudah tertera sesuai beserta biaya layanan, tapi setelah shopeepay diisi ngepas sesuai nominal yang harus dibayar, rupanya shopeepay GK bisa dipakai, muncul peringatan bahwa tidak bisa dipakai karena masih ada biaya tambahan, akhirnya ngisi shopeepay lagi, mana minimal 10 ribu. tolong ya, jangan ngejebak konsumen dengan cara kek gitu, itu merugikan",1,2025-05-16 12:21:18
"aplikasi paling buruk, masalah nyedot kuota aja lancar tapi di gunakan keperluan yang lain lemot, lambat. setiap mau pilih barang loading respon nya lama, disentuh berat, tapi video jalan terus lancar.. setiap kali mau buka shopee juga pasti selalu diarahkan ke video, saat mau di kembali susah, harus sabar, walau sudah di kembali pun suara video tetap masih jalan dari pagi sampai sekarang saya gak bisa checkout, cari barang bisa, pas mau di checkout gak bisa, gitu gitu terus",1,2025-05-23 06:01:27
terlalu banyak notifikasi yang gak penting. kalo lagi nunggu paket sih mending gak apa apa banyak notifikasi. inimah aplikasi shopee gak di pake aja banyak notifikasi. diskon lah promo lah. koin lah. orang juga pengen laku jualan nya gak gitu gitu amat. mending pake aplikasi sebelah gak berisik notifikasi,1,2025-06-02 02:56:10
"Shoope lebih lengkap fiturnya, dpt gratis ongkir dan bisa pilih kurir, tp syg akhir2 ini jasa pengiriman barang nya lambat banget,,, mohon diperhatikan dan ditindaklanjuti tentang pengiriman pesanan supaya bisa cepat sampai,,, kelamaan ditempat sortir. selebihnya ok",5,2025-05-29 18:28:08
"Ada yang merasa gak sih ? Shoope sekarang MAHAL, pas mau CO harga langsung berubah jadi NAIK padahal harga barangnya murah tp mau CO langsung naik..belum ditambah Ongkir dan Pengirimannya Lama..SUMPAH, Shopee sudah banyak yg berubah jd Auto beralih ke tempat lain...tolong banyak2 berbenah saingan banyak loh !",1,2025-06-01 05:33:21
"Sekarang shopee kalo baru buka apk interface awal nya langsung masuk ke bagian live, masalahnya sya sering nemuin BUG—walau udah keluar dari live dan nyari suatu barang, suara live nya masih tetap masuk, bahkan gak jarang udah keluar dari aplikasi pun suara live nya masih tetap masuk.. mohon untuk diubah aja seperti dulu, interface awal saat membuka shopee itu ya bagian beranda aja jangan ke bagian live, makanya belakangan ini sya lebih suka pake shopee lite krna lebih simpel dan minim BUG.",2,2025-05-25 12:23:43
"lah kok sekaarang saya gk bisa cod lagi tolonglah mana semua barang pun ga bisa cod, tulisannya alamat anda tidak mendukung padahl sudah saya perbaiki dan buat yg baru tapi tetep gk bisa, dan kemarin kemarin juga bisa pesen cod pakai alamat yang sama. aneh, tolong perbaiki lah.",1,2025-06-02 04:09:24
Keren dan Mantap 👍👍👍 Sangat Puas Belanja Di Shopee Terasa mudah untuk semua transaksi. PayLater sangat membantu. Pembayaran Cicilan Mudah. Banyak Pilihan Belanja dengan berbagai kategori. Pokoknya Keren. Untuk lebih meningkatkan Kepercayaan Customer Shopee lebih selektif lagi memilih Lapak karena masih ada lapak yang Abal-Abal,5,2025-06-03 05:34:49
"Jauh dari kata memuaskan, kebiasaan buruk platform kalau sudah besar, kepuasan pelanggan diabaikan, mulai seenaknya sendiri... 1. Filter di aplikasi mulai ngaco 2. Hasil pencarian sering nggak sesuai dengan kata kunci 3. Ekspedisi rekomendasinya nggak becus ngurusin paket 4. Ekspedisi rekomendasinya nggak transparan dengan kendala paket milik pelanggan 5. CS mulai susah dihubungi, diarahkan ke chat bot (choki) yang nggak bisa kasih solusi Karakter nggak cukup, kalau cukup masih banyak lagi.",1,2025-03-16 21:20:28
"Tolong kk Developer, matikan permanen fitur/menu ""video"" sy. Yg saat start-up apk shopee. Sdh dialgoritma/dicoding auto-nyala, gitu kk ku. Langsung auto-buka ""video"". Kan ini BUKAN tiktok (tapi shopee). Knp MAKSA saat start-up, mode video aktif dg volume suara ngagetin? Sgt ganggu! bikin TIDAK NYAMAN & boros pulsa data pula. *)NB: Please sertakan tombol or menu utk disablenya, utk kendala ""fatal"" yg ""vital"" diatas ini ☝️🙏. Pada edisi terbit upgrade apk, versi berikutnya. Tolong ya.... 👌🏻🛒📚",1,2025-05-02 18:48:33
"Aplikasi baik, jelas dan mudah utk diikuti, skrg ada gratis ongkirnya dan banyak pilihan jasa pengirimannya hanya perlu diingatkan ke para penjual utk lbh diperbaiki packingnya dan produknya disesuaikan dgn deskripsi.",5,2025-06-01 11:00:01
"Kesalahan terbesar shopee kalo menurut saya pribadi dgn MENDEPAK JNT dari ekspedisi pengiriman nya, krn mnrut saya ekspedisi paling bgs saat ini hanya JNT. Kalau di tempat saya ekspedisi seperti SPX, SICEPAT dan ANTERAJA trmasuk yg kurang dalam pengiriman barang, apalagi byk kasus barang hilangkan, disini mau ngambil barang sendiri ke kantor SPX harus jam 9 pagi lewat dari itu tidak bisa, bila SICEPAT leletnya poll juga ANTERAJA. Dan kantor nya pun jauh dari rumah saya. Tanah Laut, Kalsel.",1,2025-04-03 07:36:38
sejujurnya saya kurang suka iklannya yang lama di tambah bug di dalam aplikasi+ bug dari iklan padahal ga saya sentuh layar hpnya waktu iklan shopee nya muncul tapi tiba tiba langsung masuk aplikasi dan ini berulang cuma di iklan shope saja jujur ini ngeselin+ belum ke itung bug yang dari aplikasinya langsung setiap mau buka aplikasi shope di hp pribadi pasti ukuran gambar dllnya ga normal padahal di hp itu saya normal makanya sebisa mungkin aku gamau beli di shope hppribadi lebih mlh punya ortu,1,2025-05-30 14:30:29
"ini update pengirimanya lama udah seharian tidak ada update pengiriman sama sekali di aplikasinya ,SANGAT KECEWA sama shope ekspedisi SPX SANGAT LAMBAT!! tidak ada perubahan status pengiriman , ga butuh vuocher karna ga berguna buat saya , butuhnya tolong percepat pengiriman!! sudah terlalu lama menunggu!",1,2025-03-13 02:25:27
"apk paling menyedihkan,pengiriman lama sekali bisa 2 mingguan an padahal jarak tempuh 30KM. Belum lagi harga barang dan ongkir naik selalu,saya pikir kalo dibandingkan tiktok/tokped,lebih baik pake dua aplikasi tersebut. Terimakasih Hapus dan tinggalkan shopeee demi kenyamanan keamanan dan kehematan.",1,2025-04-27 19:59:49
